160     // Pixel 1  Row: 1
161     // Pixel 2  
161     // Pixel 3  
159     // Pixel 4  
157     // Pixel 5  
155     // Pixel 6  
155     // Pixel 7  
156     // Pixel 8  
155     // Pixel 9  
162     // Pixel 10  
167     // Pixel 11  
170     // Pixel 12  
174     // Pixel 13  
168     // Pixel 14  
144     // Pixel 15  
118     // Pixel 16  
94      // Pixel 17  
97      // Pixel 18  
101     // Pixel 19  
105     // Pixel 20  
108     // Pixel 21  
108     // Pixel 22  
107     // Pixel 23  
106     // Pixel 24  
104     // Pixel 25  
107     // Pixel 26  
111     // Pixel 27  
116     // Pixel 28  
121     // Pixel 29  
124     // Pixel 30  
126     // Pixel 31  
127     // Pixel 32  
130     // Pixel 33  
130     // Pixel 34  
130     // Pixel 35  
131     // Pixel 36  
131     // Pixel 37  
132     // Pixel 38  
132     // Pixel 39  
132     // Pixel 40  
133     // Pixel 41  
133     // Pixel 42  
133     // Pixel 43  
133     // Pixel 44  
133     // Pixel 45  
133     // Pixel 46  
133     // Pixel 47  
133     // Pixel 48  
138     // Pixel 49  
136     // Pixel 50  
135     // Pixel 51  
133     // Pixel 52  
131     // Pixel 53  
130     // Pixel 54  
130     // Pixel 55  
130     // Pixel 56  
135     // Pixel 57  
133     // Pixel 58  
132     // Pixel 59  
132     // Pixel 60  
134     // Pixel 61  
134     // Pixel 62  
133     // Pixel 63  
131     // Pixel 64  
133     // Pixel 65  
132     // Pixel 66  
131     // Pixel 67  
130     // Pixel 68  
129     // Pixel 69  
129     // Pixel 70  
129     // Pixel 71  
129     // Pixel 72  
131     // Pixel 73  
129     // Pixel 74  
127     // Pixel 75  
126     // Pixel 76  
123     // Pixel 77  
119     // Pixel 78  
113     // Pixel 79  
108     // Pixel 80  
117     // Pixel 81  
130     // Pixel 82  
145     // Pixel 83  
156     // Pixel 84  
161     // Pixel 85  
160     // Pixel 86  
154     // Pixel 87  
148     // Pixel 88  
153     // Pixel 89  
153     // Pixel 90  
153     // Pixel 91  
154     // Pixel 92  
153     // Pixel 93  
153     // Pixel 94  
152     // Pixel 95  
151     // Pixel 96  
151     // Pixel 97  
158     // Pixel 98  
156     // Pixel 99  
151     // Pixel 100  
166     // Pixel 101  
198     // Pixel 102  
217     // Pixel 103  
217     // Pixel 104  
222     // Pixel 105  
147     // Pixel 106  
106     // Pixel 107  
108     // Pixel 108  
110     // Pixel 109  
122     // Pixel 110  
132     // Pixel 111  
120     // Pixel 112  
124     // Pixel 113  
122     // Pixel 114  
120     // Pixel 115  
122     // Pixel 116  
124     // Pixel 117  
124     // Pixel 118  
121     // Pixel 119  
118     // Pixel 120  
122     // Pixel 121  
128     // Pixel 122  
127     // Pixel 123  
117     // Pixel 124  
115     // Pixel 125  
129     // Pixel 126  
150     // Pixel 127  
164     // Pixel 128  
159     // Pixel 129  Row: 2
160     // Pixel 130  
160     // Pixel 131  
159     // Pixel 132  
156     // Pixel 133  
155     // Pixel 134  
155     // Pixel 135  
156     // Pixel 136  
155     // Pixel 137  
163     // Pixel 138  
168     // Pixel 139  
170     // Pixel 140  
172     // Pixel 141  
165     // Pixel 142  
142     // Pixel 143  
118     // Pixel 144  
93      // Pixel 145  
96      // Pixel 146  
100     // Pixel 147  
104     // Pixel 148  
107     // Pixel 149  
107     // Pixel 150  
106     // Pixel 151  
105     // Pixel 152  
104     // Pixel 153  
106     // Pixel 154  
111     // Pixel 155  
116     // Pixel 156  
121     // Pixel 157  
124     // Pixel 158  
126     // Pixel 159  
127     // Pixel 160  
130     // Pixel 161  
130     // Pixel 162  
130     // Pixel 163  
131     // Pixel 164  
131     // Pixel 165  
131     // Pixel 166  
132     // Pixel 167  
132     // Pixel 168  
133     // Pixel 169  
133     // Pixel 170  
133     // Pixel 171  
133     // Pixel 172  
133     // Pixel 173  
133     // Pixel 174  
133     // Pixel 175  
133     // Pixel 176  
135     // Pixel 177  
134     // Pixel 178  
134     // Pixel 179  
132     // Pixel 180  
131     // Pixel 181  
130     // Pixel 182  
130     // Pixel 183  
129     // Pixel 184  
133     // Pixel 185  
132     // Pixel 186  
131     // Pixel 187  
131     // Pixel 188  
133     // Pixel 189  
133     // Pixel 190  
132     // Pixel 191  
131     // Pixel 192  
133     // Pixel 193  
132     // Pixel 194  
131     // Pixel 195  
129     // Pixel 196  
129     // Pixel 197  
128     // Pixel 198  
128     // Pixel 199  
129     // Pixel 200  
131     // Pixel 201  
129     // Pixel 202  
127     // Pixel 203  
126     // Pixel 204  
123     // Pixel 205  
119     // Pixel 206  
113     // Pixel 207  
109     // Pixel 208  
114     // Pixel 209  
126     // Pixel 210  
141     // Pixel 211  
153     // Pixel 212  
160     // Pixel 213  
160     // Pixel 214  
155     // Pixel 215  
151     // Pixel 216  
154     // Pixel 217  
154     // Pixel 218  
155     // Pixel 219  
155     // Pixel 220  
155     // Pixel 221  
154     // Pixel 222  
153     // Pixel 223  
152     // Pixel 224  
152     // Pixel 225  
156     // Pixel 226  
155     // Pixel 227  
151     // Pixel 228  
162     // Pixel 229  
188     // Pixel 230  
210     // Pixel 231  
219     // Pixel 232  
217     // Pixel 233  
171     // Pixel 234  
119     // Pixel 235  
102     // Pixel 236  
115     // Pixel 237  
123     // Pixel 238  
121     // Pixel 239  
122     // Pixel 240  
124     // Pixel 241  
122     // Pixel 242  
121     // Pixel 243  
122     // Pixel 244  
124     // Pixel 245  
124     // Pixel 246  
122     // Pixel 247  
120     // Pixel 248  
120     // Pixel 249  
134     // Pixel 250  
133     // Pixel 251  
118     // Pixel 252  
118     // Pixel 253  
129     // Pixel 254  
119     // Pixel 255  
94      // Pixel 256  
157     // Pixel 257  Row: 3
159     // Pixel 258  
159     // Pixel 259  
158     // Pixel 260  
156     // Pixel 261  
155     // Pixel 262  
155     // Pixel 263  
156     // Pixel 264  
157     // Pixel 265  
165     // Pixel 266  
170     // Pixel 267  
170     // Pixel 268  
168     // Pixel 269  
161     // Pixel 270  
