0       // Pixel 1  Row: 1
0       // Pixel 2  
0       // Pixel 3  
0       // Pixel 4  
0       // Pixel 5  
0       // Pixel 6  
0       // Pixel 7  
0       // Pixel 8  
0       // Pixel 9  
0       // Pixel 10  
0       // Pixel 11  
0       // Pixel 12  
0       // Pixel 13  
0       // Pixel 14  
0       // Pixel 15  
0       // Pixel 16  
0       // Pixel 17  
0       // Pixel 18  
0       // Pixel 19  
0       // Pixel 20  
0       // Pixel 21  
0       // Pixel 22  
0       // Pixel 23  
0       // Pixel 24  
0       // Pixel 25  
0       // Pixel 26  
0       // Pixel 27  
0       // Pixel 28  
0       // Pixel 29  
0       // Pixel 30  
0       // Pixel 31  
0       // Pixel 32  
0       // Pixel 33  
0       // Pixel 34  
0       // Pixel 35  
0       // Pixel 36  
0       // Pixel 37  
0       // Pixel 38  
0       // Pixel 39  
0       // Pixel 40  
0       // Pixel 41  
0       // Pixel 42  
0       // Pixel 43  
0       // Pixel 44  
0       // Pixel 45  
0       // Pixel 46  
0       // Pixel 47  
0       // Pixel 48  
0       // Pixel 49  
0       // Pixel 50  
0       // Pixel 51  
0       // Pixel 52  
0       // Pixel 53  
0       // Pixel 54  
0       // Pixel 55  
0       // Pixel 56  
0       // Pixel 57  
0       // Pixel 58  
0       // Pixel 59  
0       // Pixel 60  
0       // Pixel 61  
0       // Pixel 62  
0       // Pixel 63  
0       // Pixel 64  
0       // Pixel 65  
0       // Pixel 66  
0       // Pixel 67  
0       // Pixel 68  
0       // Pixel 69  
0       // Pixel 70  
0       // Pixel 71  
0       // Pixel 72  
0       // Pixel 73  
0       // Pixel 74  
0       // Pixel 75  
0       // Pixel 76  
0       // Pixel 77  
0       // Pixel 78  
0       // Pixel 79  
0       // Pixel 80  
0       // Pixel 81  
0       // Pixel 82  
0       // Pixel 83  
0       // Pixel 84  
0       // Pixel 85  
0       // Pixel 86  
0       // Pixel 87  
0       // Pixel 88  
0       // Pixel 89  
0       // Pixel 90  
0       // Pixel 91  
0       // Pixel 92  
0       // Pixel 93  
0       // Pixel 94  
0       // Pixel 95  
0       // Pixel 96  
0       // Pixel 97  
0       // Pixel 98  
0       // Pixel 99  
0       // Pixel 100  
0       // Pixel 101  
0       // Pixel 102  
0       // Pixel 103  
0       // Pixel 104  
0       // Pixel 105  
0       // Pixel 106  
0       // Pixel 107  
0       // Pixel 108  
0       // Pixel 109  
0       // Pixel 110  
0       // Pixel 111  
0       // Pixel 112  
0       // Pixel 113  
0       // Pixel 114  
0       // Pixel 115  
0       // Pixel 116  
0       // Pixel 117  
0       // Pixel 118  
0       // Pixel 119  
0       // Pixel 120  
0       // Pixel 121  
0       // Pixel 122  
0       // Pixel 123  
0       // Pixel 124  
0       // Pixel 125  
0       // Pixel 126  
0       // Pixel 127  
0       // Pixel 128  
0       // Pixel 129  Row: 2
23      // Pixel 130  
11      // Pixel 131  
43      // Pixel 132  
107     // Pixel 133  
255     // Pixel 134  
255     // Pixel 135  
194     // Pixel 136  
255     // Pixel 137  
212     // Pixel 138  
212     // Pixel 139  
118     // Pixel 140  
